gmail.com 1 4722
hotmail.com 2 412
users.noreply.github.com 3 154
purchase.edu 4 135
rednoise.org 5 113
shiffman.net 6 108
nyu.edu 7 72
live.com 8 55
yahoo.com 9 51
ucla.edu 10 46
